item,buque,producto,jornada,turno,ticket_apm,permiso,bl,bodega,balanza_ingreso,fecha_ingreso_apm,fecha_inicio_carguio,fecha_termino_carguio,duracion_carguio,estadia_muelle_antes_carguio,balanza_salida,guia_remision_agencia,placa_camion,empresa_transporte,num_precinto,peso_bruto_puerto,tara_puerto,peso_neto_salida_apm,peso_apm_tn,destino_almacen,fecha_salida_apmtc,tiempo_termino_carguio_salida,tiempo_llegada_salida_apm,fecha_ingreso_almacen,peso_bruto_almacen,tara_almacen,peso_neto_ingreso_almacen,diferencia_pesos_netos,fecha_salida_almacen,tiempo_llegada_almacen_desde_puerto,permanencia_almacen,duracion_total_traslado,observaciones,guia_transporte
12,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240037,-,2,BODEGA 1,-,2024-12-24 14:26:00,2024-12-24 16:19:00,2024-12-24 16:26:00,00:07:00,01:53:00,-,240037,D0Q776,TRANSJIBAJA S.A.C.,128613,45680,16480,29200,29.2,CHANCAY - 5003,2024-12-24 18:36:00,02:10:00,04:10:00,2024-12-24 20:19:00,45640,16430,29210,10,2024-12-24 20:57:00,01:43:00,00:38:00,06:31:00,0,0
13,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240040,-,2,BODEGA 1,-,2024-12-24 15:46:00,2024-12-24 16:20:00,2024-12-24 16:27:00,00:07:00,00:34:00,-,240040,C2B789,TRANSJIBAJA S.A.C.,128611,52240,16560,35680,35.68,CHANCAY - 5003,2024-12-24 18:32:00,02:05:00,02:46:00,2024-12-24 20:15:00,52190,16500,35690,10,2024-12-24 20:49:00,01:43:00,00:34:00,05:03:00,0,0
14,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240061,-,2,BODEGA 3,-,2024-12-24 14:26:00,2024-12-24 16:27:00,2024-12-24 16:34:00,00:07:00,02:01:00,-,240061,D6H785,TRANSJIBAJA S.A.C.,128614,44480,16140,28340,28.34,CHANCAY - 5003,2024-12-24 18:38:00,02:04:00,04:12:00,2024-12-24 20:27:00,44430,16070,28360,20,2024-12-24 21:07:00,01:49:00,00:40:00,06:41:00,0,0
15,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240060,-,2,BODEGA 3,-,2024-12-24 13:52:00,2024-12-24 16:28:00,2024-12-24 16:35:00,00:07:00,02:36:00,-,240060,F4E751,TRANSJIBAJA S.A.C.,128612,52020,16940,35080,35.08,CHANCAY - 5003,2024-12-24 18:36:00,02:01:00,04:44:00,2024-12-24 20:23:00,51960,16870,35090,10,2024-12-24 21:02:00,01:47:00,00:39:00,07:10:00,0,0
16,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240066,-,2,BODEGA 3,-,2024-12-24 14:21:00,2024-12-24 16:30:00,2024-12-24 16:37:00,00:07:00,02:09:00,-,240066,D3Y881,TRANSJIBAJA S.A.C.,128619,43420,16420,27000,27,CHANCAY - 5003,2024-12-24 19:01:00,02:24:00,04:40:00,2024-12-24 20:39:00,43350,16350,27000,0,2024-12-24 21:48:00,01:38:00,01:09:00,07:27:00,0,0
17,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240047,-,2,BODEGA 3,-,2024-12-24 16:36:00,2024-12-24 16:37:00,2024-12-24 16:44:00,00:07:00,00:01:00,-,240047,BYP751,TOSA E.I.R.L.,128615,51140,18360,32780,32.78,CHANCAY - 5003,2024-12-24 18:42:00,01:58:00,02:06:00,2024-12-24 20:31:00,51100,18310,32790,10,2024-12-24 21:15:00,01:49:00,00:44:00,04:39:00,0,0
18,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240079,-,2,BODEGA 3,-,2024-12-24 16:34:00,2024-12-24 16:38:00,2024-12-24 16:45:00,00:07:00,00:04:00,-,240079,D8A721,TOSA E.I.R.L.,128621,48880,17320,31560,31.56,CHANCAY - 5003,2024-12-24 19:05:00,02:20:00,02:31:00,2024-12-24 20:44:00,48800,17220,31580,20,2024-12-24 22:02:00,01:39:00,01:18:00,05:28:00,0,0
19,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240063,-,2,BODEGA 1,-,2024-12-24 16:13:00,2024-12-24 16:45:00,2024-12-24 16:52:00,00:07:00,00:32:00,-,240063,BUY724,TOSA E.I.R.L.,128616,54100,18320,35780,35.78,CHANCAY - 5003,2024-12-24 18:53:00,02:01:00,02:40:00,2024-12-24 20:33:00,54070,18270,35800,20,2024-12-24 21:20:00,01:40:00,00:47:00,05:07:00,0,0
20,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240085,-,2,BODEGA 3,-,2024-12-24 16:42:00,2024-12-24 16:46:00,2024-12-24 16:53:00,00:07:00,00:04:00,-,2240085,AJP818,VILMA ROJAS,128622,49180,18800,30380,30.38,CHANCAY - 5003,2024-12-24 19:16:00,02:23:00,02:34:00,2024-12-24 20:45:00,49140,18730,30410,30,2024-12-24 22:11:00,01:29:00,01:26:00,05:29:00,0,0
21,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240064,-,2,BODEGA 3,-,2024-12-24 13:51:00,2024-12-24 16:53:00,2024-12-24 17:00:00,00:07:00,03:02:00,-,240064,D7H920,TRANSJIBAJA S.A.C.,128617,47820,17180,30640,30.64,CHANCAY - 5003,2024-12-24 18:54:00,01:54:00,05:03:00,2024-12-24 20:37:00,47730,17110,30620,-20,2024-12-24 21:36:00,01:43:00,00:59:00,07:45:00,0,0
22,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240067,-,2,BODEGA 1,-,2024-12-24 16:37:00,2024-12-24 17:01:00,2024-12-24 17:09:00,00:08:00,00:24:00,-,240067,D7P795,TRANSJIBAJA S.A.C.,128618,53140,17620,35520,35.52,CHANCAY - 5003,2024-12-24 18:56:00,01:47:00,02:19:00,2024-12-24 20:35:00,53080,17540,35540,20,2024-12-24 21:32:00,01:39:00,00:57:00,04:55:00,0,0
23,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240082,-,2,BODEGA 3,-,2024-12-24 16:42:00,2024-12-24 17:01:00,2024-12-24 17:10:00,00:09:00,00:19:00,-,240082,BDE743,VILMA ROJAS,128620,55880,18040,37840,37.84,CHANCAY - 5003,2024-12-24 19:05:00,01:55:00,02:23:00,2024-12-24 20:42:00,55780,17960,37820,-20,2024-12-24 21:58:00,01:37:00,01:16:00,05:16:00,0,0
24,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240086,-,2,BODEGA 3,-,2024-12-24 16:42:00,2024-12-24 17:02:00,2024-12-24 17:09:00,00:07:00,00:20:00,-,2240086,AJE884,VILMA ROJAS,128624,54700,18920,35780,35.78,CHANCAY - 5003,2024-12-24 19:24:00,02:15:00,02:42:00,2024-12-24 20:54:00,54550,18800,35750,-30,2024-12-24 22:32:00,01:30:00,01:38:00,05:50:00,0,0
25,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240093,-,2,BODEGA 3,-,2024-12-24 17:27:00,2024-12-24 17:40:00,2024-12-24 17:47:00,00:07:00,00:13:00,-,2240093,AJP762,VILMA ROJAS,128628,49200,18040,31160,31.16,GH CHANCAY - 5029,2024-12-24 19:53:00,02:06:00,02:26:00,2024-12-24 20:34:00,49120,17970,31150,-10,2024-12-24 20:43:00,00:41:00,00:09:00,03:16:00,0,0
26,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240088,-,2,BODEGA 1,-,2024-12-24 17:18:00,2024-12-24 17:45:00,2024-12-24 17:53:00,00:08:00,00:27:00,-,2240088,AWS791,TOSA E.I.R.L.,128625,46920,17800,29120,29.12,CHANCAY - 5003,2024-12-24 19:45:00,01:52:00,02:27:00,2024-12-24 20:57:00,46860,17730,29130,10,2024-12-24 22:37:00,01:12:00,01:40:00,05:19:00,0,0
27,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240089,-,2,BODEGA 3,-,2024-12-24 17:27:00,2024-12-24 18:20:00,2024-12-24 18:27:00,00:07:00,00:53:00,-,2240089,T9T864,TRANSJIBAJA S.A.C.,128627,51100,17480,33620,33.62,CHANCAY - 5003,2024-12-24 19:46:00,01:19:00,02:19:00,2024-12-24 20:51:00,51020,17390,33630,10,2024-12-24 22:23:00,01:05:00,01:32:00,04:56:00,0,0
28,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240087,-,2,BODEGA 3,-,2024-12-24 17:34:00,2024-12-24 18:40:00,2024-12-24 18:49:00,00:09:00,01:06:00,-,2240087,ABP703,TRANSJIBAJA S.A.C.,128623,49080,16880,32200,32.2,CHANCAY - 5003,2024-12-24 19:23:00,00:34:00,01:49:00,2024-12-24 20:47:00,49000,16790,32210,10,2024-12-24 22:14:00,01:24:00,01:27:00,04:40:00,0,0
29,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240025,-,2,BODEGA 3,-,2024-12-24 13:48:00,2024-12-24 18:45:00,2024-12-24 18:52:00,00:07:00,04:57:00,-,2240025,AZS811,TOSA E.I.R.L.,128629,42160,17460,24700,24.7,GH CHANCAY - 5029,2024-12-24 19:56:00,01:04:00,06:08:00,2024-12-24 20:49:00,42050,17390,24660,-40,2024-12-24 21:00:00,00:53:00,00:11:00,07:12:00,0,0
30,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240100,-,2,BODEGA 3,-,2024-12-24 18:14:00,2024-12-24 19:00:00,2024-12-24 19:07:00,00:07:00,00:46:00,-,2240100,BDD892,VILMA ROJAS,128626,53680,17760,35920,35.92,CHANCAY - 5003,2024-12-24 19:48:00,00:41:00,01:34:00,2024-12-24 20:49:00,53600,17670,35930,10,2024-12-24 22:19:00,01:01:00,01:30:00,04:05:00,0,0
31,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240103,-,2,BODEGA 1,-,2024-12-24 18:17:00,2024-12-24 19:10:00,2024-12-24 19:17:00,00:07:00,00:53:00,-,2240103,BDD755,VILMA ROJAS,128630,50600,17960,32640,32.64,GH CHANCAY - 5029,2024-12-24 20:12:00,00:55:00,01:55:00,2024-12-24 20:55:00,50480,17860,32620,-20,2024-12-24 21:05:00,00:43:00,00:10:00,02:48:00,0,0
32,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240115,-,2,BODEGA 1,-,2024-12-24 19:00:00,2024-12-24 19:35:00,2024-12-24 19:42:00,00:07:00,00:35:00,-,2240115,AJG777,VILMA ROJAS,128631,54260,18100,36160,36.16,GH CHANCAY - 5029,2024-12-24 21:10:00,01:28:00,02:10:00,2024-12-24 22:19:00,54160,18010,36150,-10,2024-12-24 22:32:00,01:09:00,00:13:00,03:32:00,0,0
33,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240119,-,2,BODEGA 1,-,2024-12-24 19:29:00,2024-12-24 19:43:00,2024-12-24 19:50:00,00:07:00,00:14:00,-,240119,F1K772,TRANSJIBAJA S.A.C.,128632,54560,17020,37540,37.54,CHANCAY - 5003,2024-12-24 21:20:00,01:30:00,01:51:00,2024-12-24 21:46:00,54490,16950,37540,0,2024-12-24 22:43:00,00:26:00,00:57:00,03:14:00,0,0
34,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240114,-,2,BODEGA 3,-,2024-12-24 19:04:00,2024-12-24 19:43:00,2024-12-24 19:50:00,00:07:00,00:39:00,-,240114,BMN703,VILMA ROJAS,128633,56540,19120,37420,37.42,GH CHANCAY - 5029,2024-12-24 21:26:00,01:36:00,02:22:00,2024-12-24 22:21:00,56400,19020,37380,-40,2024-12-24 22:37:00,00:55:00,00:16:00,03:33:00,0,0
35,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240102,-,2,BODEGA 1,-,2024-12-24 18:21:00,2024-12-24 19:52:00,2024-12-24 19:59:00,00:07:00,01:31:00,-,240102,BMO703,VILMA ROJAS,128634,57600,18900,38700,38.7,CHANCAY - 5003,2024-12-24 21:48:00,01:49:00,03:27:00,2024-12-24 22:22:00,57540,18860,38680,-20,2024-12-24 22:47:00,00:34:00,00:25:00,04:26:00,0,0
36,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240121,-,2,BODEGA 1,-,2024-12-24 19:54:00,2024-12-24 20:00:00,2024-12-24 21:00:00,01:00:00,00:06:00,-,240121,BMO774,VILMA ROJAS,128635,54720,18940,35780,35.78,CHANCAY - 5003,2024-12-24 23:13:00,02:13:00,03:19:00,2024-12-25 00:04:00,54650,18870,35780,0,2024-12-25 00:24:00,00:51:00,00:20:00,04:30:00,0,0
37,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240141,-,2,BODEGA 1,-,2024-12-24 20:09:00,2024-12-24 20:19:00,2024-12-24 20:25:00,00:06:00,00:10:00,-,240141,ASA876,TOSA E.I.R.L.,128638,49940,17340,32600,32.6,CHANCAY - 5003,2024-12-25 01:48:00,05:23:00,05:39:00,2024-12-25 02:29:00,49890,17270,32620,20,2024-12-25 03:04:00,00:41:00,00:35:00,06:55:00,0,0
38,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240140,-,2,BODEGA 1,-,2024-12-24 19:58:00,2024-12-24 20:58:00,2024-12-25 01:30:00,04:32:00,01:00:00,-,240140,AWS916,TOSA E.I.R.L.,128639,52000,17740,34260,34.26,GH CHANCAY - 5029,2024-12-25 01:49:00,00:19:00,05:51:00,2024-12-25 02:36:00,51880,17670,34210,-50,2024-12-25 02:46:00,00:47:00,00:10:00,06:48:00,0,0
39,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240129,-,2,BODEGA 1,-,2024-12-24 20:35:00,2024-12-25 01:15:00,2024-12-25 01:20:00,00:05:00,04:40:00,-,240129,F6V876,VILMA ROJAS,128640,51760,18080,33680,33.68,GH CHANCAY - 5029,2024-12-25 01:53:00,00:33:00,05:18:00,2024-12-25 02:40:00,51630,17980,33650,-30,2024-12-25 02:53:00,00:47:00,00:13:00,06:18:00,0,0
40,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240142,-,2,BODEGA 1,-,2024-12-24 19:54:00,2024-12-25 01:19:00,2024-12-25 01:24:00,00:05:00,05:25:00,-,240142,AFX858,TOSA E.I.R.L.,128641,52760,17000,35760,35.76,CHANCAY - 5003,2024-12-25 01:54:00,00:30:00,06:00:00,2024-12-25 02:46:00,52670,16910,35760,0,2024-12-25 03:20:00,00:52:00,00:34:00,07:26:00,0,0
41,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240144,-,2,BODEGA 3,-,2024-12-24 20:21:00,2024-12-25 01:22:00,2024-12-25 01:27:00,00:05:00,05:01:00,-,240144,AUL936,TOSA E.I.R.L.,128643,52940,17080,35860,35.86,CHANCAY - 5003,2024-12-25 01:54:00,00:27:00,05:33:00,2024-12-25 02:49:00,52880,17030,35850,-10,2024-12-25 03:23:00,00:55:00,00:34:00,07:02:00,0,0
42,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412241050,-,2,BODEGA 3,-,2024-12-24 20:45:00,2024-12-25 01:25:00,2024-12-25 01:35:00,00:10:00,04:40:00,-,240150,D1J772,TRANSJIBAJA S.A.C.,128642,49440,17120,32320,32.32,CHANCAY - 5003,2024-12-25 02:09:00,00:34:00,05:24:00,2024-12-25 02:51:00,49370,17040,32330,10,2024-12-25 03:37:00,00:42:00,00:46:00,06:52:00,0,0
43,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240157,-,2,BODEGA 3,-,2024-12-24 20:54:00,2024-12-25 01:27:00,2024-12-25 01:30:00,00:03:00,04:33:00,-,240157,C7Y834,TRANSJIBAJA S.A.C.,128645,49600,17300,32300,32.3,CHANCAY - 5003,2024-12-25 02:10:00,00:40:00,05:16:00,2024-12-25 02:36:00,49530,17210,32320,20,2024-12-25 03:07:00,00:26:00,00:31:00,06:13:00,0,0
44,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240158,-,2,BODEGA 1,-,2024-12-24 20:24:00,2024-12-25 01:29:00,2024-12-25 01:35:00,00:06:00,05:05:00,-,240158,D7X754,TOSA E.I.R.L.,128644,53140,17280,35860,35.86,CHANCAY - 5003,2024-12-25 02:15:00,00:40:00,05:51:00,2024-12-25 02:54:00,53080,17220,35860,0,2024-12-25 03:40:00,00:39:00,00:46:00,07:16:00,0,0
45,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240128,-,2,BODEGA 1,-,2024-12-24 20:39:00,2024-12-25 01:30:00,2024-12-25 01:31:00,00:01:00,04:51:00,-,240128,ASZ864,TRANSJIBAJA S.A.C.,128636,47860,17180,30680,30.68,CHANCAY - 5003,2024-12-25 01:46:00,00:15:00,05:07:00,2024-12-25 02:14:00,47800,17110,30690,10,2024-12-25 02:32:00,00:28:00,00:18:00,05:53:00,0,0
46,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240127,-,2,BODEGA 1,-,2024-12-24 20:35:00,2024-12-25 01:30:00,2024-12-25 01:32:00,00:02:00,04:55:00,-,240127,C9H901,TOSA E.I.R.L.,128637,43640,16360,27280,27.28,CHANCAY - 5003,2024-12-25 01:47:00,00:15:00,05:12:00,2024-12-25 02:22:00,43590,16280,27310,30,2024-12-25 03:01:00,00:35:00,00:39:00,06:26:00,0,0
47,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240164,-,2,BODEGA 1,-,2024-12-24 21:28:00,2024-12-25 01:30:00,2024-12-25 01:37:00,00:07:00,04:02:00,-,240164,D6H785,TRANSJIBAJA S.A.C.,128646,51400,16140,35260,35.26,GH CHANCAY - 5029,2024-12-25 02:25:00,00:48:00,04:57:00,2024-12-25 04:04:00,51290,16050,35240,-20,2024-12-25 04:25:00,01:39:00,00:21:00,06:57:00,0,0
48,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240167,-,2,BODEGA 1,-,2024-12-25 01:07:00,2024-12-25 02:00:00,2024-12-25 02:05:00,00:05:00,00:53:00,-,240167,C2B789,TRANSJIBAJA S.A.C.,128647,50920,16560,34360,34.36,CHANCAY - 5003,2024-12-25 02:26:00,00:21:00,01:19:00,2024-12-25 02:56:00,50850,16490,34360,0,2024-12-25 04:21:00,00:30:00,01:25:00,03:14:00,0,0
49,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240169,-,2,BODEGA 3,-,2024-12-24 20:47:00,2024-12-25 02:00:00,2024-12-25 02:05:00,00:05:00,05:13:00,-,240169,APP823,TRANSJIBAJA S.A.C.,128648,55900,17540,38360,38.36,CHANCAY - 5003,2024-12-25 02:27:00,00:22:00,05:40:00,2024-12-25 02:58:00,55810,17460,38350,-10,2024-12-25 04:24:00,00:31:00,01:26:00,07:37:00,0,0
50,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240170,-,2,BODEGA 1,-,2024-12-24 21:35:00,2024-12-25 02:20:00,2024-12-25 02:25:00,00:05:00,04:45:00,-,240170,BYP751,TOSA E.I.R.L.,128649,53940,18360,35580,35.58,GH CHANCAY - 5029,2024-12-25 02:32:00,00:07:00,04:57:00,2024-12-25 04:08:00,53850,18300,35550,-30,2024-12-25 04:29:00,01:36:00,00:21:00,06:54:00,0,0
51,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 2,2025-07-23 00:00:00,202412240147,-,2,BODEGA 1,-,2024-12-24 20:23:00,2024-12-25 02:31:00,2024-12-25 02:36:00,00:05:00,06:08:00,-,240147,ABY907,TOSA E.I.R.L.,128650,52520,16900,35620,35.62,GH CHANCAY - 5029,2024-12-25 02:42:00,00:06:00,06:19:00,2024-12-25 04:11:00,52390,16810,35580,-40,2024-12-25 04:35:00,01:29:00,00:24:00,08:12:00,0,0
