item,buque,producto,jornada,turno,ticket_apm,permiso,bl,bodega,balanza_ingreso,fecha_ingreso_apm,fecha_inicio_carguio,fecha_termino_carguio,duracion_carguio,estadia_muelle_antes_carguio,balanza_salida,guia_remision_agencia,placa_camion,empresa_transporte,num_precinto,peso_bruto_puerto,tara_puerto,peso_neto_salida_apm,peso_apm_tn,destino_almacen,fecha_salida_apmtc,tiempo_termino_carguio_salida,tiempo_llegada_salida_apm,fecha_ingreso_almacen,peso_bruto_almacen,tara_almacen,peso_neto_ingreso_almacen,diferencia_pesos_netos,fecha_salida_almacen,tiempo_llegada_almacen_desde_puerto,permanencia_almacen,duracion_total_traslado,observaciones,guia_transporte
168,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250360,-,2,BODEGA 1,-,2024-12-25 10:54:00,2024-12-25 11:48:00,2024-12-25 11:55:00,00:07:00,00:54:00,-,250360,AUL898,TOSA E.I.R.L.,128771,52100,17060,35040,35.04,CHANCAY - 5003,2024-12-25 12:20:00,00:25:00,01:26:00,2024-12-25 13:21:00,52050,16990,35060,20,2024-12-25 15:51:00,01:01:00,02:30:00,04:57:00,0,0
169,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250358,-,2,BODEGA 3,-,2024-12-25 11:16:00,2024-12-25 11:48:00,2024-12-25 11:55:00,00:07:00,00:32:00,-,250358,C2B789,TRANSJIBAJA S.A.C.,128768,51560,16520,35040,35.04,CHANCAY - 5003,2024-12-25 12:13:00,00:18:00,00:57:00,2024-12-25 12:59:00,51520,16470,35050,10,2024-12-25 15:20:00,00:46:00,02:21:00,04:04:00,0,0
170,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250359,-,2,BODEGA 3,-,2024-12-25 10:45:00,2024-12-25 11:50:00,2024-12-25 11:57:00,00:07:00,01:05:00,-,250359,AJI820,TOSA E.I.R.L.,128769,53960,17640,36320,36.32,CHANCAY - 5003,2024-12-25 12:15:00,00:18:00,01:30:00,2024-12-25 13:12:00,53900,17550,36350,30,2024-12-25 15:37:00,00:57:00,02:25:00,04:52:00,0,0
171,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250351,-,2,BODEGA 1,-,2024-12-25 10:24:00,2024-12-25 11:50:00,2024-12-25 11:57:00,00:07:00,01:26:00,-,2250351,AKV816,TOSA E.I.R.L.,128764,52340,17220,35120,35.12,CHANCAY - 5003,2024-12-25 12:00:00,00:03:00,01:36:00,2024-12-25 13:01:00,52230,17120,35110,-10,2024-12-25 15:32:00,01:01:00,02:31:00,05:08:00,0,0
172,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250371,-,2,BODEGA 3,-,2024-12-25 11:39:00,2024-12-25 11:52:00,2024-12-25 11:59:00,00:07:00,00:13:00,-,250371,AZS811,TOSA E.I.R.L.,128770,53560,17420,36140,36.14,CHANCAY - 5003,2024-12-25 12:19:00,00:20:00,00:40:00,2024-12-25 13:18:00,53500,17340,36160,20,2024-12-25 15:43:00,00:59:00,02:25:00,04:04:00,0,0
173,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250386,-,2,BODEGA 3,-,2024-12-25 12:04:00,2024-12-25 12:27:00,2024-12-25 12:34:00,00:07:00,00:23:00,-,250386,ABY907,TOSA E.I.R.L.,128778,50700,16860,33840,33.84,CHANCAY - 5003,2024-12-25 13:53:00,01:19:00,01:49:00,2024-12-25 14:27:00,50640,16790,33850,10,2024-12-25 16:29:00,00:34:00,02:02:00,04:25:00,0,0
174,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250382,-,2,BODEGA 3,-,2024-12-25 11:59:00,2024-12-25 12:28:00,2024-12-25 12:35:00,00:07:00,00:29:00,-,250382,AFX858,TOSA E.I.R.L.,128777,47880,16960,30920,30.92,GH CHANCAY - 5029,2024-12-25 13:50:00,01:15:00,01:51:00,2024-12-25 14:14:00,47770,16850,30920,0,2024-12-25 14:52:00,00:24:00,00:38:00,02:53:00,0,0
175,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250379,-,2,BODEGA 1,-,2024-12-25 11:23:00,2024-12-25 12:35:00,2024-12-25 12:42:00,00:07:00,01:12:00,-,250379,ADZ884,TRANSJIBAJA S.A.C.,128776,49720,16040,33680,33.68,CHANCAY - 5003,2024-12-25 13:50:00,01:08:00,02:27:00,2024-12-25 14:23:00,49640,15970,33670,-10,2024-12-25 16:26:00,00:33:00,02:03:00,05:03:00,0,0
176,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250375,-,2,BODEGA 3,-,2024-12-25 11:41:00,2024-12-25 12:40:00,2024-12-25 12:47:00,00:07:00,00:59:00,-,250375,BYP751,TOSA E.I.R.L.,128772,52880,18340,34540,34.54,CHANCAY - 5003,2024-12-25 13:30:00,00:43:00,01:49:00,2024-12-25 14:07:00,52830,18300,34530,-10,2024-12-25 16:04:00,00:37:00,01:57:00,04:23:00,0,0
177,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250374,-,2,BODEGA 1,-,2024-12-25 11:45:00,2024-12-25 12:50:00,2024-12-25 12:57:00,00:07:00,01:05:00,-,250374,AZR943,TOSA E.I.R.L.,128774,52000,17760,34240,34.24,CHANCAY - 5003,2024-12-25 13:38:00,00:41:00,01:53:00,2024-12-25 14:12:00,51910,17650,34260,20,2024-12-25 16:08:00,00:34:00,01:56:00,04:23:00,0,0
178,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250397,-,2,BODEGA 1,-,2024-12-25 12:21:00,2024-12-25 12:52:00,2024-12-25 12:59:00,00:07:00,00:31:00,-,250397,AJD804,VILMA ROJAS,128783,51500,18400,33100,33.1,CHANCAY - 5003,2024-12-25 14:10:00,01:11:00,01:49:00,2024-12-25 14:37:00,51410,18310,33100,0,2024-12-25 16:34:00,00:27:00,01:57:00,04:13:00,0,0
179,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250376,-,2,BODEGA 3,-,2024-12-25 11:41:00,2024-12-25 13:01:00,2024-12-25 13:08:00,00:07:00,01:20:00,-,250376,ASZ864,TRANSJIBAJA S.A.C.,128775,52080,17120,34960,34.96,GH CHANCAY - 5029,2024-12-25 13:41:00,00:33:00,02:00:00,2024-12-25 14:11:00,51970,17010,34960,0,2024-12-25 14:43:00,00:30:00,00:32:00,03:02:00,0,0
180,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250404,-,2,BODEGA 1,-,2024-12-25 12:42:00,2024-12-25 13:05:00,2024-12-25 13:15:00,00:10:00,00:23:00,-,250404,AJP818,VILMA ROJAS,128787,53460,18740,34720,34.72,CHANCAY - 5003,2024-12-25 14:26:00,01:11:00,01:44:00,2024-12-25 14:42:00,53390,18690,34700,-20,2024-12-25 16:54:00,00:16:00,02:12:00,04:12:00,0,0
181,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250373,-,2,BODEGA 3,-,2024-12-25 10:49:00,2024-12-25 13:05:00,2024-12-25 13:12:00,00:07:00,02:16:00,-,250373,ANB766,VILMA ROJAS,128773,54040,18340,35700,35.7,CHANCAY - 5003,2024-12-25 13:35:00,00:23:00,02:46:00,2024-12-25 14:21:00,53960,18350,35610,-90,2024-12-25 16:18:00,00:46:00,01:57:00,05:29:00,0,0
182,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250393,-,2,BODEGA 3,-,2024-12-25 12:14:00,2024-12-25 13:10:00,2024-12-25 13:17:00,00:07:00,00:56:00,-,250393,BDD755,VILMA ROJAS,128782,54080,17900,36180,36.18,CHANCAY - 5003,2024-12-25 14:06:00,00:49:00,01:52:00,2024-12-25 14:34:00,54010,17830,36180,0,2024-12-25 16:51:00,00:28:00,02:17:00,04:37:00,0,0
183,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250389,-,2,BODEGA 1,-,2024-12-25 11:48:00,2024-12-25 13:10:00,2024-12-25 13:17:00,00:07:00,01:22:00,-,250389,ASF702,TRANSJIBAJA S.A.C.,128779,51760,17160,34600,34.6,CHANCAY - 5003,2024-12-25 13:55:00,00:38:00,02:07:00,2024-12-25 14:29:00,51700,17090,34610,10,2024-12-25 16:37:00,00:34:00,02:08:00,04:49:00,0,0
184,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250399,-,2,BODEGA 1,-,2024-12-25 12:25:00,2024-12-25 13:12:00,2024-12-25 13:19:00,00:07:00,00:47:00,-,2250399,C9H901,TOSA E.I.R.L.,128786,50380,16320,34060,34.06,GH CHANCAY - 5029,2024-12-25 14:22:00,01:03:00,01:57:00,2024-12-25 14:56:00,50290,16210,34080,20,2024-12-25 15:19:00,00:34:00,00:23:00,02:54:00,0,0
185,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250405,-,2,BODEGA 1,-,2024-12-25 12:44:00,2024-12-25 13:15:00,2024-12-25 13:22:00,00:07:00,00:31:00,-,250405,D7H920,TRANSJIBAJA S.A.C.,128788,52440,17140,35300,35.3,CHANCAY - 5003,2024-12-25 14:26:00,01:04:00,01:42:00,2024-12-25 14:59:00,52370,17060,35310,10,2024-12-25 16:47:00,00:33:00,01:48:00,04:03:00,0,0
186,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250411,-,2,BODEGA 3,-,2024-12-25 13:03:00,2024-12-25 13:21:00,2024-12-25 13:28:00,00:07:00,00:18:00,-,250411,BMO774,VILMA ROJAS,128791,52900,18880,34020,34.02,CHANCAY - 5003,2024-12-25 14:38:00,01:10:00,01:35:00,2024-12-25 15:07:00,52810,18820,33990,-30,2024-12-25 17:16:00,00:29:00,02:09:00,04:13:00,0,0
187,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250390,-,2,BODEGA 3,-,2024-12-25 11:42:00,2024-12-25 13:22:00,2024-12-25 13:29:00,00:07:00,01:40:00,-,250390,BYP721,TOSA E.I.R.L.,128781,50940,18520,32420,32.42,GH CHANCAY - 5029,2024-12-25 14:04:00,00:35:00,02:22:00,2024-12-25 14:31:00,50840,18420,32420,0,2024-12-25 15:03:00,00:27:00,00:32:00,03:21:00,0,0
188,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250398,-,2,BODEGA 3,-,2024-12-25 12:21:00,2024-12-25 13:22:00,2024-12-25 13:29:00,00:07:00,01:01:00,-,250398,D3Y881,TRANSJIBAJA S.A.C.,128784,51160,16380,34780,34.78,CHANCAY - 5003,2024-12-25 14:12:00,00:43:00,01:51:00,2024-12-25 14:39:00,51100,16320,34780,0,2024-12-25 16:43:00,00:27:00,02:04:00,04:22:00,0,0
189,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250420,-,2,BODEGA 1,-,2024-12-25 13:17:00,2024-12-25 13:33:00,2024-12-25 13:40:00,00:07:00,00:16:00,-,250420,BMO703,VILMA ROJAS,128794,55100,18860,36240,36.24,CHANCAY - 5003,2024-12-25 14:50:00,01:10:00,01:33:00,2024-12-25 15:12:00,55030,18810,36220,-20,2024-12-25 17:06:00,00:22:00,01:54:00,03:49:00,0,0
190,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250392,-,2,BODEGA 3,-,2024-12-25 12:10:00,2024-12-25 13:42:00,2024-12-25 13:49:00,00:07:00,01:32:00,-,250392,AWS916,TOSA E.I.R.L.,128780,50720,17700,33020,33.02,CHANCAY - 5003,2024-12-25 14:02:00,00:13:00,01:52:00,2024-12-25 14:32:00,50680,17630,33050,30,2024-12-25 16:40:00,00:30:00,02:08:00,04:30:00,0,0
191,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250401,-,2,BODEGA 3,-,2024-12-25 12:34:00,2024-12-25 13:48:00,2024-12-25 13:55:00,00:07:00,01:14:00,-,250401,AWS791,TOSA E.I.R.L.,128785,50900,17760,33140,33.14,CHANCAY - 5003,2024-12-25 14:21:00,00:26:00,01:47:00,2024-12-25 14:46:00,50820,17680,33140,0,2024-12-25 17:09:00,00:25:00,02:23:00,04:35:00,0,0
192,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250419,-,2,BODEGA 3,-,2024-12-25 13:17:00,2024-12-25 13:48:00,2024-12-25 13:55:00,00:07:00,00:31:00,-,250419,F6V876,VILMA ROJAS,128793,51260,18040,33220,33.22,GH CHANCAY - 5029,2024-12-25 14:43:00,00:48:00,01:26:00,2024-12-25 15:09:00,51130,17910,33220,0,2024-12-25 16:01:00,00:26:00,00:52:00,02:44:00,0,0
193,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250409,-,2,BODEGA 3,-,2024-12-25 12:56:00,2024-12-25 14:02:00,2024-12-25 14:09:00,00:07:00,01:06:00,-,250409,BMN703,VILMA ROJAS,128789,52700,19060,33640,33.64,CHANCAY - 5003,2024-12-25 14:35:00,00:26:00,01:39:00,2024-12-25 15:02:00,52600,18990,33610,-30,2024-12-25 16:57:00,00:27:00,01:55:00,04:01:00,0,0
194,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250408,-,2,BODEGA 3,-,2024-12-25 12:57:00,2024-12-25 14:10:00,2024-12-25 14:17:00,00:07:00,01:13:00,-,250408,AJG777,VILMA ROJAS,128790,49740,18060,31680,31.68,CHANCAY - 5003,2024-12-25 14:36:00,00:19:00,01:39:00,2024-12-25 15:05:00,49780,17990,31790,110,2024-12-25 17:01:00,00:29:00,01:56:00,04:04:00,0,0
195,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250413,-,2,BODEGA 1,-,2024-12-25 13:10:00,2024-12-25 14:12:00,2024-12-25 14:19:00,00:07:00,01:02:00,-,250413,BDE743,VILMA ROJAS,128792,54780,18000,36780,36.78,CHANCAY - 5003,2024-12-25 14:41:00,00:22:00,01:31:00,2024-12-25 15:10:00,54690,17910,36780,0,2024-12-25 17:23:00,00:29:00,02:13:00,04:13:00,0,0
196,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250424,-,2,BODEGA 3,-,2024-12-25 13:21:00,2024-12-25 14:22:00,2024-12-25 14:29:00,00:07:00,01:01:00,-,250424,AJE884,VILMA ROJAS,128795,53400,18860,34540,34.54,GH CHANCAY - 5029,2024-12-25 14:54:00,00:25:00,01:33:00,2024-12-25 15:25:00,53190,18690,34500,-40,2024-12-25 16:09:00,00:31:00,00:44:00,02:48:00,0,0
197,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250425,-,2,BODEGA 3,-,2024-12-25 13:32:00,2024-12-25 14:33:00,2024-12-25 14:40:00,00:07:00,01:01:00,-,250425,C7Y834,TRANSJIBAJA S.A.C.,128796,48960,17240,31720,31.72,GH CHANCAY - 5029,2024-12-25 14:58:00,00:18:00,01:26:00,2024-12-25 15:27:00,48810,17140,31670,-50,2024-12-25 16:39:00,00:29:00,01:12:00,03:07:00,0,0
198,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250443,-,2,BODEGA 3,-,2024-12-25 14:08:00,2024-12-25 14:40:00,2024-12-25 14:47:00,00:07:00,00:32:00,-,250443,APP823,TRANSJIBAJA S.A.C.,128803,53420,17500,35920,35.92,CHANCAY - 5003,2024-12-25 15:23:00,00:36:00,01:15:00,2024-12-25 15:52:00,53350,17430,35920,0,2024-12-25 17:29:00,00:29:00,01:37:00,03:21:00,0,0
199,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250426,-,2,BODEGA 1,-,2024-12-25 13:34:00,2024-12-25 14:41:00,2024-12-25 14:48:00,00:07:00,01:07:00,-,250426,D1J772,TRANSJIBAJA S.A.C.,128797,49620,17060,32560,32.56,GH CHANCAY - 5029,2024-12-25 15:01:00,00:13:00,01:27:00,2024-12-25 15:30:00,49500,16960,32540,-20,2024-12-25 16:48:00,00:29:00,01:18:00,03:14:00,0,0
200,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250440,-,2,BODEGA 3,-,2024-12-25 13:57:00,2024-12-25 14:44:00,2024-12-25 14:51:00,00:07:00,00:47:00,-,250440,F4E751,TRANSJIBAJA S.A.C.,128800,51740,16880,34860,34.86,CHANCAY - 5003,2024-12-25 15:14:00,00:23:00,01:17:00,2024-12-25 15:37:00,51660,16820,34840,-20,2024-12-25 17:19:00,00:23:00,01:42:00,03:22:00,0,0
201,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250427,-,2,BODEGA 3,-,2024-12-25 13:37:00,2024-12-25 14:45:00,2024-12-25 14:52:00,00:07:00,01:08:00,-,250427,D7X754,TOSA E.I.R.L.,128798,48160,17240,30920,30.92,CHANCAY - 5003,2024-12-25 15:05:00,00:13:00,01:28:00,2024-12-25 15:33:00,48080,17170,30910,-10,2024-12-25 17:12:00,00:28:00,01:39:00,03:35:00,0,0
202,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250441,-,2,BODEGA 3,-,2024-12-25 13:19:00,2024-12-25 14:45:00,2024-12-25 14:52:00,00:07:00,01:26:00,-,250441,ATA883,TOSA E.I.R.L.,128802,43960,16840,27120,27.12,CHANCAY - 5003,2024-12-25 15:22:00,00:30:00,02:03:00,2024-12-25 16:10:00,43900,16780,27120,0,2024-12-25 17:35:00,00:48:00,01:25:00,04:16:00,0,0
203,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250448,-,2,BODEGA 3,-,2024-12-25 14:15:00,2024-12-25 14:50:00,2024-12-25 14:57:00,00:07:00,00:35:00,-,250448,F1K772,TRANSJIBAJA S.A.C.,128805,53140,16980,36160,36.16,CHANCAY - 5003,2024-12-25 15:27:00,00:30:00,01:12:00,2024-12-25 16:03:00,53070,16910,36160,0,2024-12-25 17:40:00,00:36:00,01:37:00,03:25:00,0,0
204,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250433,-,2,BODEGA 3,-,2024-12-25 13:19:00,2024-12-25 14:50:00,2024-12-25 14:57:00,00:07:00,01:31:00,-,250433,ATA937,TOSA E.I.R.L.,128801,46980,17100,29880,29.88,GH CHANCAY - 5029,2024-12-25 15:20:00,00:23:00,02:01:00,2024-12-25 16:05:00,46880,17030,29850,-30,2024-12-25 17:33:00,00:45:00,01:28:00,04:14:00,0,0
205,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250436,-,2,BODEGA 1,-,2024-12-25 13:56:00,2024-12-25 14:52:00,2024-12-25 14:59:00,00:07:00,00:56:00,-,250436,ASA876,TOSA E.I.R.L.,128799,51300,17280,34020,34.02,GH CHANCAY - 5029,2024-12-25 15:10:00,00:11:00,01:14:00,2024-12-25 15:34:00,51190,17210,33980,-40,2024-12-25 16:58:00,00:24:00,01:24:00,03:02:00,0,0
206,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250446,-,2,BODEGA 1,-,2024-12-25 14:16:00,2024-12-25 14:52:00,2024-12-25 14:59:00,00:07:00,00:36:00,-,250446,BDD892,VILMA ROJAS,128804,49360,17700,31660,31.66,CHANCAY - 5003,2024-12-25 15:26:00,00:27:00,01:10:00,2024-12-25 15:57:00,49310,17610,31700,40,2024-12-25 17:32:00,00:31:00,01:35:00,03:16:00,0,0
207,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 3,7-15,202412250449,-,2,BODEGA 3,-,2024-12-25 14:21:00,2024-12-25 15:00:00,2024-12-25 15:07:00,00:07:00,00:39:00,-,250449,ABP703,TRANSJIBAJA S.A.C.,128806,51440,16820,34620,34.62,CHANCAY - 5003,2024-12-25 15:33:00,00:26:00,01:12:00,2024-12-25 16:07:00,51340,16740,34600,-20,2024-12-25 17:26:00,00:34:00,01:19:00,03:05:00,0,0
208,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250451,-,2,BODEGA 1,-,2024-12-25 14:29:00,2024-12-25 15:10:00,2024-12-25 15:17:00,00:07:00,00:41:00,-,250451,BYP790,TOSA E.I.R.L.,128807,47260,18320,28940,28.94,CHANCAY - 5003,2024-12-25 15:37:00,00:20:00,01:08:00,2024-12-25 16:29:00,47200,18280,28920,-20,2024-12-25 18:07:00,00:52:00,01:38:00,03:38:00,0,0
209,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250453,-,2,BODEGA 1,-,2024-12-25 14:44:00,2024-12-25 15:20:00,2024-12-25 15:27:00,00:07:00,00:36:00,-,250453,D7P795,TRANSJIBAJA S.A.C.,128808,54540,17560,36980,36.98,CHANCAY - 5003,2024-12-25 15:39:00,00:12:00,00:55:00,2024-12-25 16:14:00,54490,17490,37000,20,2024-12-25 17:43:00,00:35:00,01:29:00,02:59:00,0,0
210,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250474,-,2,BODEGA 1,-,2024-12-25 15:20:00,2024-12-25 15:21:00,2024-12-25 15:28:00,00:07:00,00:01:00,-,250474,D8A721,TOSA E.I.R.L.,128817,53780,17280,36500,36.5,CHANCAY - 5003,2024-12-25 16:18:00,00:50:00,00:58:00,2024-12-25 16:50:00,53680,17180,36500,0,2024-12-25 18:19:00,00:32:00,01:29:00,02:59:00,0,0
211,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250460,-,2,BODEGA 1,-,2024-12-25 15:04:00,2024-12-25 15:22:00,2024-12-25 15:29:00,00:07:00,00:18:00,-,250460,ASZ864,TRANSJIBAJA S.A.C.,128810,52000,17120,34880,34.88,CHANCAY - 5003,2024-12-25 15:48:00,00:19:00,00:44:00,2024-12-25 16:32:00,51950,17050,34900,20,2024-12-25 18:11:00,00:44:00,01:39:00,03:07:00,0,0
212,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250465,-,2,BODEGA 3,-,2024-12-25 15:08:00,2024-12-25 15:25:00,2024-12-25 15:32:00,00:07:00,00:17:00,-,250465,ABV921,TOSA E.I.R.L.,128812,52300,16800,35500,35.5,CHANCAY - 5003,2024-12-25 15:53:00,00:21:00,00:45:00,2024-12-25 16:36:00,52250,16740,35510,10,2024-12-25 17:50:00,00:43:00,01:14:00,02:42:00,0,0
213,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250464,-,2,BODEGA 3,-,2024-12-25 15:05:00,2024-12-25 15:35:00,2024-12-25 15:42:00,00:07:00,00:30:00,-,250464,D7W933,TOSA E.I.R.L.,128811,52160,17440,34720,34.72,GH CHANCAY - 5029,2024-12-25 15:52:00,00:10:00,00:47:00,2024-12-25 16:31:00,52010,17350,34660,-60,2024-12-25 17:51:00,00:39:00,01:20:00,02:46:00,0,0
214,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250457,-,2,BODEGA 3,-,2024-12-25 14:50:00,2024-12-25 15:35:00,2024-12-25 15:42:00,00:07:00,00:45:00,-,250457,AJP762,VILMA ROJAS,128809,48980,17980,31000,31,CHANCAY - 5003,2024-12-25 15:46:00,00:04:00,00:56:00,2024-12-25 16:18:00,48920,17940,30980,-20,2024-12-25 18:04:00,00:32:00,01:46:00,03:14:00,0,0
215,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250467,-,2,BODEGA 3,-,2024-12-25 15:08:00,2024-12-25 15:35:00,2024-12-25 15:42:00,00:07:00,00:27:00,-,250467,AFX858,TOSA E.I.R.L.,128813,53660,16940,36720,36.72,GH CHANCAY - 5029,2024-12-25 15:56:00,00:14:00,00:48:00,2024-12-25 16:34:00,53530,16820,36710,-10,2024-12-25 18:03:00,00:38:00,01:29:00,02:55:00,0,0
216,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250469,-,2,BODEGA 3,-,2024-12-25 15:14:00,2024-12-25 15:36:00,2024-12-25 15:43:00,00:07:00,00:22:00,-,250469,T9T864,TRANSJIBAJA S.A.C.,128815,52100,17420,34680,34.68,CHANCAY - 5003,2024-12-25 16:05:00,00:22:00,00:51:00,2024-12-25 16:39:00,52020,17340,34680,0,2024-12-25 17:46:00,00:34:00,01:07:00,02:32:00,0,0
217,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250472,-,2,BODEGA 1,-,2024-12-25 15:18:00,2024-12-25 15:48:00,2024-12-25 15:55:00,00:07:00,00:30:00,-,250472,D6H785,TRANSJIBAJA S.A.C.,128816,48720,16080,32640,32.64,CHANCAY - 5003,2024-12-25 16:11:00,00:16:00,00:53:00,2024-12-25 16:42:00,48640,16020,32620,-20,2024-12-25 17:58:00,00:31:00,01:16:00,02:40:00,0,0
218,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250475,-,2,BODEGA 3,-,2024-12-25 15:23:00,2024-12-25 15:49:00,2024-12-25 15:56:00,00:07:00,00:26:00,-,250475,BYP721,TOSA E.I.R.L.,128818,51020,18500,32520,32.52,GH CHANCAY - 5029,2024-12-25 16:22:00,00:26:00,00:59:00,2024-12-25 16:55:00,50890,18410,32480,-40,2024-12-25 18:19:00,00:33:00,01:24:00,02:56:00,0,0
219,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250468,-,2,BODEGA 3,-,2024-12-25 15:09:00,2024-12-25 15:52:00,2024-12-25 15:59:00,00:07:00,00:43:00,-,250468,BUY724,TOSA E.I.R.L.,128814,52860,18300,34560,34.56,GH CHANCAY - 5029,2024-12-25 16:02:00,00:03:00,00:53:00,2024-12-25 16:37:00,52750,18220,34530,-30,2024-12-25 18:15:00,00:35:00,01:38:00,03:06:00,0,0
220,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 4,15-23,202412250483,-,2,BODEGA 3,-,2024-12-25 15:49:00,2024-12-25 15:53:00,2024-12-25 16:00:00,00:07:00,00:04:00,-,250483,AJI820,TOSA E.I.R.L.,128822,49960,17640,32320,32.32,GH CHANCAY - 5029,2024-12-25 16:39:00,00:39:00,00:50:00,2024-12-25 17:21:00,49860,17540,32320,0,2024-12-25 18:28:00,00:42:00,01:07:00,02:39:00,0,0
