planta,tn_tosa,tn_transjibaja,tn_vilma_rojas,tn_total,tarifa_tosa_soles,tarifa_transjibaja_soles,tarifa_vilma_soles,gasto_tosa_soles,gasto_transjibaja_soles,gasto_vilma_soles,gasto_total_soles,cu_dolares_tn,cu_soles_tn
CHANCAY - 5003,12044.560000000001,5035.18,4365.0999999999985,21444.84,9.5,8,7.9,114423.32,40281.44,34484.28999999999,189189.05,8.822124576354964,2.358856838597584
GH CHANCAY - 5029,2391.5,2309.1600000000003,1128.2000000000003,5828.860000000001,9.5,9.5,8.9,22719.25,21937.020000000004,10040.980000000003,54697.25000000001,9.383867514402473,2.509055485134351
LURIN - 5001,4603.259999999999,688.2399999999999,431.68,5723.179999999999,50,45,45,230162.99999999997,30970.799999999996,19425.6,280559.39999999997,49.02159289066568,13.107377778252856
